
ভাবী,ভবিষ্যতে হবে এমন
বৈজ্ঞানিক,বিজ্ঞান জানেন যিনি
বিদ্বান,বিদ্যা আছে যার
বিদান,ব্যাকরণ জানেন যিনি
বৈদান্তিক,বেদান্ত জানেন যিনি
বৈষ্ণব,বিষ্ণুর উপাসক
বিগত,বিগত হয়েছে যা
বৈদেশিক,বিদেশের বা বিদেশ সম্পর্কীয়
বৈষয়িক,বিষয় বা সম্পত্তি সম্বন্ধীয়
বৈধ,বিহিত বা বিধিসম্মত যা
বরণীয়,বরণ করার যোগ্য
বৃতি,বরণ করার ইচ্ছা
বিচক্ষণ,বিবেচনা করার শক্তি যার আছে
বিপরীত,বিপরীত দিকে অবস্থিত
ব্যর্থ,বিফল হয়েছে যা
প্রতিকূল,বিপরীত ফল দেয় যা
বিস্মিত,বিস্ময় প্রকাশ পায় যাতে
বিখ্যাত,বিশ্রুত বা প্রসিদ্ধ হয়েছে যে
বিখ্যাত/প্রথিতযশা,বিখ্যাত হয়েছে যে ব্যক্তি
বিবরণ,বিস্তৃত বর্ণনা
বৈশিষ্ট্য,বিশেষ ভাব বা লক্ষণ
বিবেচক,বিবেচনা করে কাজ করে যে
ব্যতিরেক,বিপরীত বা অন্য রকম ভাব
ব্যথাতুর,ব্যথা পেয়েছে যে
বরণীয়,বরণ করার যোগ্য যিনি
বৃত,বরণ করা হচ্ছে এমন
বহুজ্ঞ,বহু বিষয়ে জানেন যিনি
বংশানুক্রমিক,বংশ পরম্পরায় যা চলে আসছে
বিপত্তারিণী,বিপদের সময় যে নারী উদ্ধার করে
বিদায়াশীর্বাদ,বিদায়ের প্রাক্কালে আশীর্বাদ
বিচারিত,বিবেচনা করা হচ্ছে এমন
বিবেচ্য,বিবেচনা করা উচিত এমন
বিভাগীয়,বিভাগ সম্বন্ধীয়
অবিমৃষ্যকারী,বিবেচনা না করে যে কাজ করে
প্রবাস,বিদেশে অবস্থান
প্রবাসী,বিদেশে বাস করে যে
বিবরণ,বিস্তারিত বর্ণনা
ব্যুৎপন্ন,ব্যুৎপত্তি লাভ করেছে যে
ব্যভিচারী,ব্যভিচার করে যে
বাগ্মী,বাক্যে অতি দক্ষ যিনি
বিচার্য,বিবেচনা করা যায় এমন
কুবুদ্ধি,বিপরীত বুদ্ধি যার
সুদর্শন,বিষ্ণুর চক্র
শুক্লবর্ণ,যার বর্ণ শুক্ল
পৌনঃপুনিক,বার বার যা ঘটে
বিশ্বপ্রেমী,বিশ্বের মঙ্গলাকাঙ্ক্ষী
বিদ্যুৎগর্ভা,বিদ্যুৎ গর্ভে যার
বিজয়োৎসব,বিজয় স্মরণে যে উৎসব
মুমুক্ষু,মুক্তি পেতে ইচ্ছুক
মৃত্যুঞ্জয়,মরণকে জয় করেছে যে
অজেয়,যাকে জয় করা যায় না
মরণোত্তর,মরণ হওয়ার পর যা ঘটে
মরণশীল,মরবে যে
মুমূর্ষু,মরার মতো অবস্থা যার
মাখনকোমল,মাখনের মতো নরম
মাখনচোর,মাখন চুরি করে যে
মধুসূদন,মধু নামক দানবকে যে নিধন করেছে
মধুকর,মধু আহরণ করে যে
মধুপ,মধু পান করে যে
মধুচক্র,মধু সঞ্চিত থাকে যেখানে
মধুমক্ষিকা,মধু গুঞ্জন করে যে (স্ত্রী) মক্ষিকা
মাতৃহীন,মাতা নেই যার
অনাথ,মাতা-পিতা নেই যার
মেটে,মাটির মতো রং যার
মেটে,মাটির তৈরি
মনোহর,মন হরণ করে যে
মনসিজ,মনে জন্মে যা
ভূগর্ভস্থ,মাটির নিচে অবস্থিত
উদ্ভিদ,মাটি ভেদ করে ওঠে যা
মনোরম,মনকে আনন্দ দেয় যা
মনস্তাপ,মনের সন্তাপ
মর্মভেদী,মর্মকে বিদীর্ণ করে যা
মানস,মনে জাত যা
মায়াবী,মায়া জানে যে
অটলস্পর্শী,তলাসস্পর্শ করা যায় না যার
অদম্য,যাকে দমন করা যায় না
অদৃশ্য,যা দেখা যায় না
পরিবর্তনশীল,যা নিয়ত পরিবর্তন হচ্ছে
পারলৌকিক,যা পরলোক সম্বন্ধীয়
অপরিমেয়,যা পরিমাণ করা যায় না
প্রশংসনীয়,যা প্রশংসার যোগ্য
অনায়াসলব্ধ,যা অনায়াসে লাভ করা যায়
অজাতশত্রু,যার কোনো শত্রু জন্মেনি
অজেয়,যাকে জয় করা যায় না
অনাগত,যা এখনও আসেনি
অনাবিল,যার মধ্যে কোনো আবিলতা বা মলিনতা নেই
অনির্বচনীয়,যা বাক্যে বর্ণনা করা যায় না
অনুপম,যার কোনো উপমা নেই
অদৃষ্টপূর্ব,যা আগে দেখা যায়নি
অশ্রুতপূর্ব,যা আগে শোনা যায়নি
অচিন্তিতপূর্ব,যা আগে চিন্তা করা হয়নি
অবর্ণনীয়,যা ভাষায় বর্ণনা করা যায় না
অদম্য,যাকে দমন করা দুঃসাধ্য
দুর্ভেদ্য,যা ভেদ করা দুঃসাধ্য
মর্মস্পর্শী,যা মনকে স্পর্শ করে
মৃতবৎ,যা মৃত বা মরা মানুষের মতো
অযৌক্তিক,যা যুক্তিযুক্ত নয়
অলঙ্ঘনীয়,যা লঙ্ঘন করা উচিত নয়
অসাধারণ,যা সাধারণত দেখা যায় না
দুষ্পাচ্য,যা সহজে পরিপাক করা যায় না
ব্যয়বহুল,যা সম্পন্ন করতে অনেক ব্যয় হয়
